gene_names,pg_n1,pg_n1n2,pg_n1Andn1n2,pg_full,pnl_n1,pnl_n1n2,pnl_n1Andn1n2,pnl_full,n1_size,n2_size,gene_ind,gene_name
ENSG00000083444.16,0.4320896458586706,0.6842900410338402,0.5684814387356196,0.9231277505107631,0.6908070163958959,0.5294345774288232,0.6178191432736095,0.6945762482826828,40000.0,138162.0,200.0,PLOD1
ENSG00000116688.16,0.4410988663003471,0.8811584412290827,0.7765971193890541,0.8161622256728558,0.5890980535187166,0.883462288666115,0.8075999941077555,0.4871851227138272,40000.0,138162.0,201.0,MFN2
ENSG00000116691.10,0.3273276366591932,0.8773262099383113,0.7386500000628275,0.45898423346543643,0.3410490778564048,0.4949938276226809,0.4129216763959528,0.6477424885135361,40000.0,138162.0,202.0,MIIP
ENSG00000228140.1,0.6885106512334304,0.27786240555434283,0.47366193343258134,0.4060360598886602,0.6473538360452317,0.28401312124099753,0.4514935784430033,0.46883356725662473,40000.0,138162.0,212.0,RP3-467K16.4
ENSG00000197312.11,0.713996824774899,0.844083771877604,0.7954487678174333,0.9464078360943193,0.8231669218839708,0.8460400334875875,0.8353224058735289,0.9393063814004107,40000.0,138162.0,221.0,DDI2
ENSG00000116786.11,0.28648697251534233,0.7494747305201958,0.5322289442501178,0.7765667100316023,0.5808323555343686,0.9255073413346835,0.865664744235366,0.5545447426824496,40000.0,138162.0,222.0,PLEKHM2
ENSG00000162461.7,0.5114223820110111,0.19678368571228666,0.30881161642087845,0.9379427438572693,0.5846143703157862,0.290684406005355,0.42202474685384156,0.9803173401842808,40000.0,138162.0,223.0,SLC25A34
ENSG00000142632.16,0.07973560910396849,0.1792594954054021,0.1111643427395998,0.034697067754744904,0.14988745580568902,0.5964007241681465,0.28025343927395896,0.05019347932115148,40000.0,138162.0,234.0,ARHGEF19
ENSG00000237276.8,0.7086584605414767,0.31218740849818205,0.5157992206003912,0.06172680981526418,0.8387236017783292,0.2797472490250507,0.6441569759254665,0.34235397605491236,40000.0,138162.0,235.0,ANO7L1
ENSG00000157191.19,0.7414400354481232,0.2875537661932781,0.5253394681148272,0.05239215404605879,0.6862886641557258,0.2785814580143071,0.47267387343820705,0.12330409318572105,40000.0,138162.0,240.0,NECAP2
ENSG00000226029.1,0.12845654046107935,0.9592013380295893,0.8874237909850379,0.0956164273264648,0.49700199396666095,0.9926545588191376,0.9853137443767019,0.6453630442317946,40000.0,138162.0,241.0,LINC01772
ENSG00000080947.14,0.1345282450411524,0.9634656159248269,0.9043026728350728,0.819144611990794,0.16487007733908332,0.829745929898122,0.48933757359368346,0.8295304605928615,40000.0,138162.0,242.0,CROCCP3
ENSG00000219481.10,0.5187396755100626,0.4047337871731434,0.46047685400720806,0.37777917435335867,0.450797362013868,0.4309370306982287,0.44080893781113006,0.5466860137509049,40000.0,138162.0,243.0,NBPF1
ENSG00000186301.8,0.9576345199896452,0.9895002171058488,0.9831622773355037,0.6312119942757175,0.9672762294605974,0.9649899004713001,0.9661715066312091,0.6432205147364485,40000.0,138162.0,244.0,MST1P2
ENSG00000215908.10,0.48701552116206903,0.7742431062359538,0.6630276531293683,0.8575516394801741,0.7622927594080915,0.7923190548650417,0.7781484967696428,0.8974776840057426,40000.0,138162.0,245.0,CROCCP2
ENSG00000186715.10,0.2198011240450619,0.8862012042214271,0.7014032867298308,0.4074724352561309,0.21555174741640748,0.8700125441571915,0.6560409257368386,0.38217690655551284,40000.0,138162.0,246.0,MST1L
ENSG00000058453.16,0.19320966108395926,0.823284747583534,0.5273517578533066,0.7335744244606723,0.2780079319756288,0.40960774859440324,0.33632985831951245,0.7136116421147698,40000.0,138162.0,250.0,CROCC
ENSG00000117115.12,0.3206656382612548,0.8196510886625776,0.6398850847517381,0.8990307247127763,0.41565391959732056,0.9353312039280017,0.8690180076124827,0.5972315503311313,40000.0,138162.0,253.0,PADI2
