gene_names,pg_adsp,pg_adsp.1,pg_adsp.2,pnl_adsp,pnl_adsp.1,pnl_adsp.2,pg_ukb,pg_ukb.1,pg_ukb.2,pnl_ukb,pnl_ukb.1,pnl_ukb.2,adsp_size,ukb_size,gene_ind,gene_name,pg_adsp_combined,pnl_adsp_combined,pg_ukb_combined,pnl_ukb_combined
ENSG00000116786.11,0.209787388996113,0.273272237383618,0.402409786603791,0.283863623155809,0.912056375393234,0.685992842663202,0.788200116540981,0.827152030639763,0.855749222860293,0.971550959192404,0.987254192142091,0.949417849846212,10454,367182,221,PLEKHM2,0.280679115165963,0.768994120401549,0.82754605265277,0.977493949692528
ENSG00000162461.7,0.132189424858338,0.055336374789649,0.107693497660739,0.134137168863687,0.0600102925790028,0.104510668847374,0.693840866139614,0.0295162189792493,0.23244300255933,0.62764964355426,0.0264811730210751,0.202354599526308,10454,367182,222,SLC25A34,0.0862131593848738,0.0893315248557978,0.083499613346908,0.0726040678424341
ENSG00000178715.8,0.367374282955674,0.679434321144045,0.715281400479407,0.482978012732519,0.784145381779849,0.534099791684646,0.754196740047714,0.68107536293354,0.673381349178846,0.574432960585579,0.585414879753383,0.514044348101835,10454,367182,227,RP11-169K16.8,0.601667629491244,0.629745686220947,0.706315982231898,0.558466583193545
ENSG00000237276.8,0.39487292070141,0.532277256635524,0.438210974838338,0.730960920074194,0.523076887443012,0.375678584053378,0.0268793301440351,0.070625944527124,0.0195014430585371,0.896284822684141,0.903668132941548,0.832509997678596,10454,367182,234,ANO7L1,0.453887808872909,0.557500836095963,0.0292557877294967,0.88426610435971
ENSG00000037637.10,0.804008560996941,0.7861846068397,0.89821926517045,0.234815452092218,0.91994872345723,0.923282941488848,0.624869120087439,0.734117506629319,0.567033633533547,0.640890633181095,0.753566509453237,0.58270721909783,10454,367182,237,FBXO42,0.845586221475336,0.868780557082924,0.650319269218215,0.669078486013363
ENSG00000157191.19,0.481946681003669,0.656934710337757,0.840519368780653,0.812340007695499,0.605991646475865,0.920671810905894,0.401776849376455,0.611952398405361,0.482820452940783,0.994723674098737,0.422209092175941,0.772814719389969,10454,367182,239,NECAP2,0.708638068044637,0.847381429341812,0.499382827821559,0.984416108497634
ENSG00000226029.1,0.926332194078408,0.312003838435892,0.440028065086873,0.855692056760274,0.341138194928835,0.576113408679947,0.616889682619541,0.235771146097952,0.559153140802235,0.5105709485787,0.160394796726852,0.368451360813299,10454,367182,240,LINC01772,0.769046623693285,0.668187199705059,0.445268266662697,0.297285084430545
ENSG00000058453.16,0.373797427841026,0.987993678616003,0.0623684858139475,0.293074796608427,0.393336055084986,0.24387389776715,0.0947498688917978,0.225298367170836,0.265306780362275,0.485807052015818,0.61463717148935,0.646312053320836,10454,367182,249,CROCC,0.954922603542274,0.302221367086701,0.163018871068309,0.585617412958815
ENSG00000117115.12,0.892762137783701,0.260460434264414,0.173724658136457,0.645250286965624,0.825078766314057,0.503794098906946,0.727503348992863,0.637127182252517,0.566047522961735,0.572931635103103,0.833273267850142,0.794203056040348,10454,367182,252,PADI2,0.52879546264502,0.696917489252999,0.650783175062805,0.764639555216971
ENSG00000276747.1,0.137487344285345,0.319382681388453,0.0288537418371152,0.244083347355557,0.45586353898855,0.487757754297024,0.658309925216312,0.355034042451308,0.748718309813996,0.69469525816258,0.632874324175043,0.919614678086434,10454,367182,254,PADI6,0.0680976924390291,0.377427790148193,0.606701372202105,0.828543284744446
ENSG00000127463.13,0.489060367235875,0.889925501110571,0.443093366546055,0.517997922129712,0.62582709760619,0.611017484595878,0.930369866357903,0.741874223883103,0.310260077608416,0.9496019564077,0.757037777180136,0.32904821985467,10454,367182,262,EMC1,0.724891880828369,0.586655411931438,0.821296785369628,0.866221664190451
ENSG00000040487.12,0.226261451681151,0.191944876601739,0.36482497481948,0.845100337745627,0.414134532045797,0.286409409487824,0.617699342597175,0.766522134099369,0.255962482039037,0.931405521443934,0.620054276301071,0.29337622728095,10454,367182,267,PQLC2,0.246538655923546,0.584901677380256,0.556068661724025,0.80277260398897
ENSG00000158747.13,0.672108382279045,0.246814000002635,0.643398433209504,0.881160688689388,0.202694084677962,0.572722688515327,0.421739479390527,0.210548316626825,0.0410706553172844,0.305142625554046,0.291117075842915,0.0694113568844537,10454,367182,271,NBL1,0.50677090355288,0.641865589924262,0.0999013232205246,0.147899478799602
ENSG00000158748.3,0.865049689206511,0.563177233217184,0.94783000574655,0.919838353467399,0.37558691781844,0.578253660422243,0.482534052106141,0.268886481052193,0.826052051698166,0.591590236571587,0.38082984879368,0.964653994578899,10454,367182,272,HTR6,0.891568812587371,0.784201007438681,0.573091828406536,0.896202808153084
ENSG00000090432.6,0.278355348945847,0.962004214584226,0.244275268959786,0.347031179202412,0.755070591713166,0.537216578581603,0.412070315645982,0.148318750473503,0.258894418657728,0.572760979661914,0.325892995155013,0.178662186231883,10454,367182,280,MUL1,0.861705907302127,0.565735507993299,0.23886389104654,0.315285594585652
ENSG00000158825.5,0.876585444265242,0.726500880436228,0.359660040802922,0.836909802439606,0.730800074947142,0.322110372236404,0.696412926169976,0.466832434920363,0.448232177079257,0.509930181051844,0.42601880049403,0.244889283557494,10454,367182,281,CDA,0.741227517408906,0.689987495876954,0.546438419108298,0.375408915026979
