gene_names,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_fstat,stage1_X2_fstat,num_snps,adsp_size,ukb_size,gene_ind,gene_name
ENSG00000116685.15,0.935312442895238,0.9746751610631896,0.8325329554568223,0.4808404257450676,0.6848067557829651,0.6099272393299523,29.517665901204477,3.927434455611014,6,10454,367182,198,KIAA2013
ENSG00000083444.16,0.5925004183437923,0.3685484403969679,0.1910058911705528,0.3704133587807858,0.4167270300122242,0.3301344877264067,38.18658807007228,3.2247117822661244,9,10454,367182,199,PLOD1
ENSG00000116688.16,0.4971316872113761,0.6558051981562875,0.5361444706166235,0.4951499838047977,0.7695150420904758,0.8086038780597214,132.04657657762246,8.894067717554858,8,10454,367182,200,MFN2
ENSG00000116691.10,0.4350726586346564,0.7285557698316929,0.8764623878427826,0.7753265288891549,0.3372258936681421,0.148019763267058,35.5128337112955,11.674765807414772,8,10454,367182,201,MIIP
ENSG00000197312.11,0.8827835864172263,0.872336227992444,0.6160834914042561,0.3666459799988305,0.5393873923360447,0.517115454436902,18.981042402343565,6.72418778462566,2,10454,367182,220,DDI2
ENSG00000116786.11,0.8031229238935181,0.4548825530930039,0.218650167983632,0.4975422753157585,0.4888663449804575,0.3243918532846208,18.725278456553205,2.325003621939944,2,10454,367182,221,PLEKHM2
ENSG00000162461.7,0.9145447685762448,0.5404971047640929,0.2695649948432109,0.641855726578381,0.2755700232062278,0.1243624980748581,33.35489076516606,5.332710212560175,2,10454,367182,222,SLC25A34
ENSG00000178715.8,0.6526772393459406,0.4707213278710003,0.253414007150697,0.6408139164402088,0.7077397776624565,0.4912999747155989,10.074875666322708,7.560837059253308,4,10454,367182,227,RP11-169K16.8
ENSG00000237276.8,0.0311328970054074,0.0475278581329062,0.2289436805975262,0.1071004628293164,0.027586550613676,0.0322650562223546,76.78988690524935,2.931534049582386,4,10454,367182,234,ANO7L1
ENSG00000037637.10,0.9785353096565164,0.8824801406395527,0.6175668469623382,0.6005050190098762,0.1265407820870934,0.0494461580566488,13.501454572159313,4.291653315965617,2,10454,367182,237,FBXO42
ENSG00000157191.19,0.1904327213678059,0.2568911555725431,0.3163510935728567,0.6230751196396402,0.3312493030308445,0.1606394169740752,45.84100936096229,2.408268132221826,3,10454,367182,239,NECAP2
ENSG00000226029.1,0.6859760641060388,0.6678292651521739,0.4222853809226401,0.9586869015352492,0.5842940004609378,0.300490263910368,14.344884261675952,5.080627504413175,3,10454,367182,240,LINC01772
ENSG00000058453.16,0.074929265491577,0.0429953390574941,0.0772544819832666,0.0065121986039247,0.0238336903923842,0.7905987755089171,80.64515445966957,2.0268075874163527,2,10454,367182,249,CROCC
ENSG00000117115.12,0.7415515053996089,0.9148227845741924,0.792382090531059,0.0386427241468559,0.1177313386851556,0.9625836533330392,359.0825227097776,12.089910940962309,3,10454,367182,252,PADI2
ENSG00000276747.1,0.1634644138012752,0.1038339510410425,0.107675382089337,0.2444092094118284,0.4297010957054642,0.5631080889372805,29.56716285400628,2.089013774432585,14,10454,367182,254,PADI6
ENSG00000127463.13,0.9086228385674988,0.9722504997636348,0.8355207879896188,0.0296523433821181,0.0610458185048109,0.3529197268017555,11.428077369153277,3.4496198237271423,5,10454,367182,262,EMC1
ENSG00000040487.12,0.0902285462589771,0.2364067105298003,0.9049838276709388,0.2629355837120476,0.4570750028823335,0.5760999243455682,25.76314176552339,3.937560681243256,5,10454,367182,267,PQLC2
ENSG00000158747.13,0.2824301803539875,0.440420409351514,0.4862901120510297,0.8903494660325467,0.8755582710102381,0.6193509243177919,19.262962461463925,2.593535205970781,4,10454,367182,271,NBL1
ENSG00000158748.3,0.386683736752603,0.6838030154757205,0.9169968077701858,0.5677003987341898,0.2688877445726522,0.1293428098619687,25.81663341446733,3.044642204072173,7,10454,367182,272,HTR6
ENSG00000090432.6,0.363247516083285,0.6430859065209713,0.8123505027460365,0.5685879702805602,0.4581627305746576,0.2662414845977809,11.399227266105015,4.576477893938884,12,10454,367182,280,MUL1
ENSG00000158825.5,0.4185280661493809,0.6412880465686573,0.628479322273936,0.1847410426693174,0.1660326505698373,0.1758826033820388,39.05897406244348,6.434253820114349,9,10454,367182,281,CDA
ENSG00000127483.17,0.9991142446924032,0.9982449984752988,0.9527454321145544,0.0139666197938653,0.0315949764706539,0.351741736652804,46.49521528370615,6.652761496125931,3,10454,367182,286,HP1BP3
ENSG00000117298.14,0.3138194295102125,0.599920481622743,0.931300319468657,0.0088448849504496,0.0268229886870655,0.5359392131321521,18.162839302996417,5.97192226868375,4,10454,367182,290,ECE1
ENSG00000227001.3,0.1748682443116907,0.3070801953468431,0.4705645306009376,0.4989051731274492,0.5285831460415251,0.3658109079407072,12.560223552635891,2.8782523234981605,10,10454,367182,291,NBPF2P
ENSG00000142794.18,0.0815558423414303,0.1802029320147131,0.5302830854548897,0.9504267016260154,0.5280504885397032,0.2591560332168479,93.68046212345494,7.053150171456427,8,10454,367182,293,NBPF3
